timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
42060728,0,37.455942799999995,126.954191,162.447,180.904,1725533681000165,11141125,0.14600001,3.1415925,0.509,0.94400007,0.57,0.88,68,5,0.014,-0.011000001,-0.009000001,-0.003,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42250739,0,37.455942799999995,126.954191,162.46,180.917,1725533681200165,11141125,0.15200001,3.1415925,0.508,0.94100004,0.57,0.88,68,5,0.025,0.024,-0.004,0.023000002,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42349729,0,37.455942799999995,126.95419109999999,162.467,180.924,1725533681300165,11141125,0.13900001,2.5327687,0.507,0.94000006,0.57,0.88,68,5,0.042000003,0.026,0.033,-0.013,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42447831,0,37.455942799999995,126.95419109999999,162.473,180.93,1725533681400165,11141125,0.148,3.1415925,0.507,0.93900007,0.57,0.88,68,5,0.003,0.001,-0.003,0.009000001,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42547714,0,37.4559427,126.95419109999999,162.483,180.94,1725533681500165,11141125,0.163,3.1415925,0.50600004,0.938,0.57,0.88,68,5,0.016,0.015000001,-0.006,0.027,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42647715,0,37.4559427,126.954191,162.488,180.945,1725533681600164,11141125,0.147,3.1415925,0.50600004,0.93700004,0.57,0.88,68,5,0.020000001,-0.014,-0.014,-0.0050000004,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42746717,0,37.4559427,126.954191,162.49,180.947,1725533681700164,11141125,0.171,3.1415925,0.505,0.93600005,0.57,0.88,68,5,0.021000002,0.017,0.011000001,0.044000003,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42844715,0,37.4559427,126.954191,162.498,180.955,1725533681800164,11141125,0.12200001,3.1415925,0.505,0.93500006,0.57,0.88,68,6,0.018000001,0.009000001,-0.016,-0.008,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
42943715,0,37.4559426,126.954191,162.506,180.96200000000002,1725533681900164,11141125,0.123,3.1415925,0.504,0.934,0.57,0.88,68,6,0.011000001,-0.006,0.009000001,-0.004,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
43044714,0,37.4559426,126.954191,162.51,180.967,1725533682000164,11141125,0.163,3.1415925,0.504,0.933,0.57,0.88,68,6,0.0050000004,0.003,-0.004,0.020000001,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
43144730,0,37.4559426,126.954191,162.519,180.976,1725533682100164,11141125,0.15300001,3.1415925,0.503,0.93200004,0.57,0.88,68,6,0.010000001,0.003,-0.009000001,-0.025,0.0,0,nan,0.0,0.0,0.0,0,3,1,1,1,30,0,0,0
