timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
95199085,95198973,0,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
95704777,95198973,0,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
96001780,95198973,0,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
96508159,95198973,0,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
97002759,95198973,0,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
97508787,95198973,0,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
98014760,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
98521807,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
99016760,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
99522761,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
100028788,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
100534921,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
101042222,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
101547740,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
102043743,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
102550740,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
103057094,95198973,97542250,93679755,2147411071,8307839,0,2,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,22,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
